date,hour,fuel type,percent marginal,co2 rate
2019-01-04,3,Gas,1.0,872
2019-01-04,4,Gas,1.0,843
2019-01-04,5,Gas,1.0,845
2019-01-04,6,Gas,0.9994399042039228,833
2019-01-04,6,Wind,0.0005600957960771846,0
2019-01-04,7,Gas,1.0,827
2019-01-04,8,Gas,0.9999999999999999,892
2019-01-04,9,Gas,0.9995733757030965,877
2019-01-04,9,Wind,0.0004266242969035421,0
2019-01-04,10,Gas,1.0,949
2019-01-04,11,Gas,1.0000000000000002,871
2019-01-04,12,Gas,1.0000000000000002,849
2019-01-04,13,Gas,0.9999999999999999,854
2019-01-04,14,Gas,1.0,879
2019-01-04,15,Gas,1.0,856
2019-01-04,16,Gas,0.9166666666666665,887
2019-01-04,16,Pumped Storage,0.08333333333333331,0
2019-01-04,17,Gas,0.916666666666667,906
2019-01-04,17,Pumped Storage,0.08333333333333334,0
2019-01-04,18,Gas,0.7499999999999999,855
2019-01-04,18,Wind,0.24999999999999997,0
2019-01-04,19,Gas,1.0000000000000002,872
2019-01-04,20,Gas,1.0,869
2019-01-04,21,Gas,0.9999999999999998,876
2019-01-04,22,Gas,1.0,846
2019-01-04,23,Gas,0.7500000000000001,811
2019-01-04,23,Other,0.25,2044
2019-01-05,0,Gas,0.9166666666666667,854
2019-01-05,0,Other,0.08333333333333334,2044
2019-01-05,1,Gas,1.0,849
2019-01-05,2,Gas,1.0,840
2019-01-05,3,Gas,1.0,855
2019-01-05,4,Gas,0.9166666666666666,853
2019-01-05,4,Pumped Storage Demand,0.08333333333333333,0
2019-01-05,5,Gas,0.75,847
2019-01-05,5,Pumped Storage Demand,0.25,0
2019-01-05,6,Gas,1.0,850
2019-01-05,7,Gas,0.9999999999999999,872
2019-01-05,8,Gas,0.75,847
2019-01-05,8,Hydro,0.25,0
2019-01-05,9,Gas,0.9999999999999999,862
2019-01-05,10,Gas,1.0,840
2019-01-05,11,Gas,0.9999999999999998,896
2019-01-05,12,Gas,0.9999999999999999,868
2019-01-05,13,Gas,1.0,920
2019-01-05,14,Gas,1.0,840
2019-01-05,15,Gas,1.0,839
2019-01-05,16,Gas,0.9166666666666665,842
2019-01-05,16,Pumped Storage,0.08333333333333331,0
2019-01-05,17,Gas,0.33333333333333337,888
2019-01-05,17,Pumped Storage,0.6666666666666666,0
2019-01-05,18,Gas,1.0,845
2019-01-05,19,Gas,1.0000000000000002,921
2019-01-05,20,Gas,1.0,843
2019-01-05,21,Gas,1.0,907
2019-01-05,22,Gas,1.0,861
2019-01-05,23,Gas,0.9999999999999998,831
2019-01-06,0,Gas,0.8333333333333333,822
2019-01-06,0,Hydro,0.16666666666666666,0
2019-01-06,1,Gas,0.8333333333333333,1033
2019-01-06,1,Wind,0.16666666666666666,0
2019-01-06,2,Gas,0.5833333333333333,887
2019-01-06,2,Pumped Storage Demand,0.4166666666666667,0
2019-01-06,3,Gas,0.9166666666666667,833
2019-01-06,3,Pumped Storage Demand,0.08333333333333333,0
2019-01-06,4,Gas,1.0,823
2019-01-06,5,Gas,1.0,835
2019-01-06,6,Gas,1.0,814
2019-01-06,7,Gas,1.0,858
2019-01-06,8,Gas,0.75,858
2019-01-06,8,Pumped Storage,0.25,0
2019-01-06,9,Gas,0.8333333333333334,861
2019-01-06,9,Pumped Storage,0.16666666666666669,0
2019-01-06,10,Gas,0.7916666666666667,818
2019-01-06,10,Pumped Storage,0.20833333333333334,0
2019-01-06,11,Gas,0.9999999999999999,902
2019-01-06,12,Gas,0.9999999999999999,843
2019-01-06,13,Gas,1.0,844
2019-01-06,14,Gas,0.9984286112594571,837
2019-01-06,14,Wind,0.0015713887405429993,0
2019-01-06,15,Gas,0.9991208956039639,858
2019-01-06,15,Wind,0.0008791043960361714,0
2019-01-06,16,Gas,0.9975677940137354,843
2019-01-06,16,Wind,0.0024322059862646613,0
2019-01-06,17,Gas,0.7466286619726921,890
2019-01-06,17,Pumped Storage,0.24887622065756407,0
2019-01-06,17,Wind,0.004495117369744001,0
2019-01-06,18,Gas,0.5116524962651825,895
2019-01-06,18,Pumped Storage,0.48399560457517254,0
2019-01-06,18,Wind,0.004351899159644898,0
2019-01-06,19,Gas,0.5808001127626452,866
2019-01-06,19,Pumped Storage,0.41485722340188946,0
2019-01-06,19,Wind,0.0043426638354653185,0
2019-01-06,20,Gas,0.8298529782968624,871
2019-01-06,20,Pumped Storage,0.16597059565937247,0
2019-01-06,20,Wind,0.004176426043765089,0
2019-01-06,21,Gas,0.9958229395273692,862
2019-01-06,21,Wind,0.004177060472630764,0
2019-01-06,22,Gas,0.9959044904758098,846
2019-01-06,22,Wind,0.004095509524190348,0
2019-01-06,23,Gas,0.33234672430485807,842
2019-01-06,23,Pumped Storage Demand,0.6638005637219837,0
2019-01-06,23,Wind,0.00385271197315812,0
2019-01-07,0,Gas,0.5819137214286667,836
2019-01-07,0,Wind,0.4180862785713332,0
2019-01-07,1,Gas,0.4155187465439475,829
2019-01-07,1,Hydro,0.0013097180655195519,0
2019-01-07,1,Pumped Storage Demand,0.2495634273114935,0
2019-01-07,1,Wind,0.3336081080790395,0
2019-01-07,2,Gas,0.08318655637304448,818
2019-01-07,2,Hydro,0.0001467769602888594,0
2019-01-07,2,Pumped Storage Demand,0.9150521201034892,0
2019-01-07,2,Wind,0.0016145465631774534,0
2019-01-07,3,Gas,0.8281181319605708,974
2019-01-07,3,Hydro,0.0010547585643228378,0
2019-01-07,3,Wind,0.1708271094751064,0
2019-01-07,4,Gas,0.9029834356848595,841
2019-01-07,4,Hydro,0.0021416852995027823,0
2019-01-07,4,Wind,0.0948748790156376,0
2019-01-07,5,Gas,0.3321376091896828,954
2019-01-07,5,Hydro,0.5273591129059642,0
2019-01-07,5,Wind,0.14050327790435296,0
2019-01-07,6,Gas,0.9956729536187833,843
2019-01-07,6,Wind,0.004327046381216562,0
2019-01-07,7,Gas,0.9975386352508419,829
2019-01-07,7,Wind,0.002461364749158112,0
2019-01-07,8,Gas,0.9984160691797338,888
2019-01-07,8,Wind,0.0015839308202659056,0
2019-01-07,9,Gas,0.9983875913461859,852
2019-01-07,9,Wind,0.0016124086538141858,0
2019-01-07,10,Gas,0.9982925266043212,886
2019-01-07,10,Wind,0.0017074733956787208,0
2019-01-07,11,Gas,0.9151605219887161,903
2019-01-07,11,Hydro,0.08333333333333334,0
2019-01-07,11,Wind,0.0015061446779505519,0
2019-01-07,12,Gas,0.9983973667302203,981
2019-01-07,12,Wind,0.0016026332697796624,0
2019-01-07,13,Gas,0.9984669874414216,878
2019-01-07,13,Wind,0.0015330125585784463,0
2019-01-07,14,Gas,0.9987462283031747,875
2019-01-07,14,Wind,0.0012537716968252358,0
2019-01-07,15,Gas,0.9999999999999999,875
2019-01-07,16,Gas,0.9999999999999999,860
2019-01-07,17,Gas,0.9999999999999996,876
2019-01-07,18,Gas,0.6666666666666667,877
2019-01-07,18,Pumped Storage,0.33333333333333337,0
2019-01-07,19,Gas,0.999150055680971,855
2019-01-07,19,Wind,0.0008499443190290122,0
2019-01-07,20,Gas,0.9973594124291774,858
2019-01-07,20,Wind,0.002640587570822714,0
2019-01-07,21,Gas,0.9974495101551798,854
2019-01-07,21,Wind,0.0025504898448201105,0
2019-01-07,22,Gas,0.9974732068934868,869
2019-01-07,22,Wind,0.0025267931065130413,0
2019-01-07,23,Gas,0.9143612324862993,847
2019-01-07,23,Pumped Storage,0.08312374840784541,0
2019-01-07,23,Wind,0.0025150191058549184,0
2019-01-08,0,Gas,0.9974775647186084,848
2019-01-08,0,Wind,0.0025224352813916886,0
2019-01-08,1,Gas,0.9972929599400738,847
2019-01-08,1,Wind,0.0027070400599261478,0
2019-01-08,2,Gas,0.5822553503170602,956
2019-01-08,2,Pumped Storage Demand,0.16623547346015743,0
2019-01-08,2,Wind,0.25150917622278235,0
2019-01-08,3,Pumped Storage Demand,0.9973947334449933,0
2019-01-08,3,Wind,0.0026052665550068167,0
2019-01-08,4,Pumped Storage Demand,0.9973419982701599,0
2019-01-08,4,Wind,0.0026580017298401303,0
2019-01-08,5,Gas,0.8310142539934267,866
2019-01-08,5,Pumped Storage Demand,0.16620285079868533,0
2019-01-08,5,Wind,0.0027828952078881777,0
2019-01-08,6,Gas,0.9973687553883614,852
2019-01-08,6,Wind,0.002631244611638515,0
2019-01-08,7,Gas,0.9973164282913652,840
2019-01-08,7,Wind,0.002683571708634778,0
2019-01-08,8,Gas,0.9973294617458639,853
2019-01-08,8,Wind,0.0026705382541360933,0
2019-01-08,9,Gas,0.7481021326888532,881
2019-01-08,9,Pumped Storage,0.24936737756295102,0
2019-01-08,9,Wind,0.0025304897481960215,0
2019-01-08,10,Gas,0.24899573104300135,855
2019-01-08,10,Pumped Storage,0.7471071692383848,0
2019-01-08,10,Wind,0.0038970997186137213,0
2019-01-08,11,Gas,0.16614118997817326,869
2019-01-08,11,Pumped Storage,0.830925885471639,0
2019-01-08,11,Wind,0.0029329245501877855,0
2019-01-08,12,Pumped Storage,0.9993492845304617,0
2019-01-08,12,Wind,0.000650715469538345,0
2019-01-08,13,Pumped Storage,1.0,0
2019-01-08,14,Gas,1.0,847
2019-01-08,15,Gas,1.0,833
2019-01-08,16,Gas,0.33333333333333326,870
2019-01-08,16,Pumped Storage,0.6666666666666666,0
2019-01-08,17,Gas,0.08333333333333334,882
2019-01-08,17,Pumped Storage,0.9166666666666667,0
2019-01-08,18,Gas,0.20833333333333334,911
2019-01-08,18,Pumped Storage,0.7916666666666666,0
2019-01-08,19,Gas,0.16666666666666666,879
2019-01-08,19,Pumped Storage,0.8333333333333334,0
2019-01-08,20,Gas,0.41666666666666674,861
2019-01-08,20,Pumped Storage,0.5833333333333331,0
2019-01-08,21,Gas,0.9166666666666666,867
2019-01-08,21,Pumped Storage,0.08333333333333334,0
2019-01-08,22,Gas,1.0,839
2019-01-08,23,Gas,0.9990498112560664,896
2019-01-08,23,Wind,0.0009501887439336733,0
2019-01-09,0,Gas,0.8322221167973681,846
2019-01-09,0,Wind,0.16777788320263196,0
2019-01-09,1,Gas,0.9153054549298869,871
2019-01-09,1,Wind,0.0846945450701132,0
2019-01-09,2,Gas,0.33282497601714106,866
2019-01-09,2,Pumped Storage Demand,0.4160312200214263,0
2019-01-09,2,Wind,0.25114380396143265,0
2019-01-09,3,Gas,0.4992248629051329,859
2019-01-09,3,Pumped Storage Demand,0.33281657527008857,0
2019-01-09,3,Wind,0.1679585618247785,0
2019-01-09,4,Gas,0.41599797149051043,851
2019-01-09,4,Pumped Storage Demand,0.5823971600867146,0
2019-01-09,4,Wind,0.0016048684227750933,0
2019-01-09,5,Gas,0.8319839249199075,823
2019-01-09,5,Pumped Storage Demand,0.1663967849839815,0
2019-01-09,5,Wind,0.0016192900961110226,0
2019-01-09,6,Gas,0.5832017130139221,872
2019-01-09,6,Hydro,0.08320171301392211,0
2019-01-09,6,Pumped Storage Demand,0.3329384723750997,0
2019-01-09,6,Wind,0.0006581015970560823,0
2019-01-09,7,Gas,0.9996395244940345,863
2019-01-09,7,Wind,0.00036047550596567796,0
2019-01-09,8,Gas,1.0,874
2019-01-09,9,Gas,0.9999999999999999,941
2019-01-09,10,Gas,0.9999999999999999,871
2019-01-09,11,Gas,1.0000000000000002,855
2019-01-09,12,Gas,1.0,911
2019-01-09,13,Gas,1.0000000000000002,860
2019-01-09,14,Gas,1.0,865
2019-01-09,15,Gas,1.0,932
2019-01-09,16,Gas,1.0,858
2019-01-09,17,Gas,0.8333333333333334,863
2019-01-09,17,Pumped Storage,0.16666666666666666,0
2019-01-09,18,Gas,0.75,877
2019-01-09,18,Other,0.08333333333333333,2044
