job_id,month,power_kw,ci_base,spread,position,headroom,saving_frac,flat_window
nrel_20190102T09,1,2.6660000000000004,166.40143027413586,96.03369185299607,0.1002985445745219,9.632039522973628,0.057884355363445196,False
nrel_20190102T10,1,2.734,180.7592886270956,100.4174129451846,0.23890177183740896,23.989897875933366,0.13271737269017614,False
nrel_20190102T11,1,2.787,209.16960665044607,102.16170939598567,0.512914439363745,52.400215899283836,0.2505154393049679,False
nrel_20190102T12,1,2.215,246.43870523415978,102.16170939598567,0.8777194020455672,89.66931448299755,0.3638605161384696,False
nrel_20190102T13,1,2.319,252.8030826041583,102.98928051717252,0.932462984213035,96.03369185299607,0.3798754780350785,False
nrel_20190102T14,1,5.662,250.06204318936878,105.80416005595603,0.8509597184860963,90.03507825587423,0.3600509581843727,False
nrel_20190102T15,1,4.423,251.36366731931557,110.64029588800912,0.7679140440041762,84.9622370451797,0.3380052413750368,False
nrel_20190102T16,1,4.395,257.18680369634683,96.28243753504938,0.7937845886112882,76.42751506925123,0.29716732729213835,False
nrel_20190102T17,1,3.896,258.9311001471479,67.87211951169891,0.7331654566662618,49.76149349670183,0.19218044286075672,False
nrel_20190102T18,1,2.607,255.24843294782377,30.6030209279852,0.28787117893998027,8.809727713663989,0.03451432634442389,False
nrel_20190102T19,1,3.7190000000000003,259.75867126833475,26.979682972776203,0.359404819128169,9.696628078965972,0.037329372034511234,False
nrel_20190102T20,1,4.151,265.8311249894506,26.979682972776203,0.5844798775431709,15.769081800081807,0.05931992275437121,False
nrel_20190102T21,1,2.534,277.041726162145,25.678058842829415,1.0,25.678058842829415,0.09268661150270463,False
nrel_20190102T22,1,2.713,276.7756946519271,22.584334551908427,0.988220529163415,22.31830304169054,0.08063678810293665,False
nrel_20190102T23,1,2.274,264.7000274010138,47.86650701509484,0.7421642076945539,35.52480825396367,0.1342077996846766,False
nrel_20190103T00,1,2.6109999999999998,268.0927438731379,57.636807454591974,0.8447349413643818,48.68782516558491,0.18160814225029565,False
nrel_20190103T01,1,2.96,261.7599830376705,66.00098932003971,0.7684619081939349,50.71924619556523,0.193762413975501,False
nrel_20190103T02,1,3.358,271.1795330797345,75.85721251026786,0.9227206894582766,69.99501942785736,0.25811320874011845,False
nrel_20190103T03,1,3.708,267.6056349143714,79.11284341525436,0.8807261774394255,69.6767521674808,0.2603710201759242,False
nrel_20190103T04,1,3.605,254.45739161023656,78.84681190503647,0.7169409580114561,56.528508863345934,0.22215314126120222,False
nrel_20190103T05,1,0.733,229.17521914705014,73.25065033284386,0.4265673582170151,31.24633640015952,0.13634256145342805,False
nrel_20190103T06,1,0.935,219.404918707553,73.25065033284386,0.29318560126193227,21.476035960662387,0.09788311076693776,False
nrel_20190103T07,1,1.155,211.04073684210528,73.25065033284386,0.1789998318873028,13.111854095214653,0.062129493534817275,False
nrel_20190103T08,1,1.428,201.18451365187713,74.45423054269747,0.04372660735671008,3.2556309049865035,0.016182313667641123,False
nrel_20190103T09,1,1.6070000000000002,197.92888274689062,82.3523349623535,0.0,0.0,0.0,False
