session_id,reason,hourly_adapter_kept,hourly_slack_h,real_slack_h,charge_h,dwell_h
2_39_139_28_2019-01-06 20:11:28.392115,valid,False,,0.0016666666666666668,0.4127777777777778,0.41444444444444445
2_39_139_28_2019-01-06 20:41:25.648191,valid,False,,0.001388888888888889,1.3066666666666666,1.3080555555555555
2_39_79_382_2019-01-06 20:42:32.560960,valid,True,0.0,0.001388888888888889,2.348333333333333,2.3497222222222223
2_39_130_31_2019-01-06 20:46:46.864177,valid,True,1.0,1.0366666666666666,0.7202777777777778,1.7569444444444444
2_39_79_379_2019-01-06 21:05:56.013305,valid,True,2.0,3.63,1.118611111111111,4.748611111111111
2_39_139_28_2019-01-06 22:04:02.916180,valid,False,,0.001388888888888889,0.835,0.8363888888888888
2_39_125_21_2019-01-06 23:04:59.148776,valid,True,2.0,3.2913888888888887,2.2241666666666666,5.515555555555555
2_39_131_30_2019-01-06 23:18:28.240043,valid,False,,0.0011111111111111111,1.6222222222222222,1.6233333333333333
2_39_139_28_2019-01-07 00:40:13.710715,valid,True,7.0,6.551666666666667,8.917777777777777,15.469444444444445
2_39_79_380_2019-01-07 03:44:35.495065,valid,True,7.0,6.9375,5.809166666666667,12.746666666666666
2_39_127_19_2019-01-07 13:50:59.641869,valid,True,0.0,0.001388888888888889,8.842222222222222,8.84361111111111
2_39_89_25_2019-01-07 14:05:12.217769,valid,False,,0.0002777777777777778,1.46,1.4602777777777778
2_39_78_365_2019-01-07 15:15:40.248727,valid,False,,0.0019444444444444444,9.218333333333334,9.220277777777778
2_39_123_23_2019-01-07 15:54:23.598488,valid,True,5.0,5.266944444444444,1.425,6.691944444444444
2_39_95_444_2019-01-07 16:00:12.659040,valid,True,2.0,2.7641666666666667,5.891666666666667,8.655833333333334
2_39_88_438_2019-01-07 16:06:23.670058,valid,True,3.0,3.5280555555555555,4.991388888888889,8.519444444444444
2_39_139_28_2019-01-07 16:14:29.925446,valid,True,0.0,0.0008333333333333334,8.988611111111112,8.989444444444445
2_39_79_377_2019-01-07 16:17:59.681519,valid,True,1.0,1.6725,6.259166666666666,7.931666666666667
2_39_95_27_2019-01-07 16:25:56.121567,valid,True,7.0,7.360833333333333,2.553888888888889,9.914722222222222
2_39_92_442_2019-01-07 16:27:30.838965,valid,False,,0.0002777777777777778,8.134166666666667,8.134444444444444
2_39_79_379_2019-01-07 16:28:24.626512,valid,True,0.0,0.021111111111111112,6.907222222222222,6.928333333333334
2_39_138_29_2019-01-07 16:30:47.221398,valid,True,6.0,6.1125,2.901388888888889,9.01388888888889
2_39_129_17_2019-01-07 16:31:18.133044,valid,False,,0.0016666666666666668,8.220555555555556,8.222222222222221
2_39_79_380_2019-01-07 16:34:24.552497,valid,True,0.0,0.0022222222222222222,5.428888888888889,5.431111111111111
