session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_91_441_2019-01-03 16:46:35.434678,True,6.163801153529251,37.404,1.4583333333333333,1.1552777777777834,10576.223635376378,10548.207611361431
2_39_79_381_2019-01-03 16:48:35.529456,True,4.643017088980554,6.566,8.953055555555556,1.1899999999999977,1838.185392786602,1820.8117243957988
2_39_95_444_2019-01-03 16:56:35.653277,True,5.729599765430289,21.712,3.18,0.0,6063.932112972941,6063.932112972941
2_39_129_17_2019-01-03 17:08:08.638289,True,2.481402701925841,2.398,3.432777777777778,0.8641666666666623,671.0033697328696,664.8324650875
2_39_89_25_2019-01-03 17:09:40.548528,True,0.6955712040970726,6.64,0.0033333333333333335,0.0,1880.7761277541597,1880.7761277541597
2_39_138_566_2019-01-03 17:18:36.077712,True,2.059751972942503,4.06,2.7575,0.6899999999999977,1129.830524706841,1126.0538792184739
2_39_79_383_2019-01-03 18:02:52.880710,True,3.066864580954556,7.461,4.293888888888889,0.0,2077.9834581980504,2077.9834581980504
2_39_79_378_2019-01-03 18:46:44.843174,True,3.392553191489361,8.504,0.0011111111111111111,0.0,2391.7807086103226,2391.7807086103226
2_39_89_439_2019-01-03 18:52:46.457926,True,2.9262690138437875,4.756,4.6402777777777775,0.0,1328.0196345764168,1328.0196345764168
2_39_78_365_2019-01-03 20:38:02.489248,True,3.433333333333333,6.077,2.7022222222222223,2.3661111111111097,1754.7659899568164,1703.4334970419698
2_39_92_436_2019-01-03 20:46:39.695133,True,6.279363767816568,16.888,0.029444444444444443,0.029444444444450824,4840.336494237915,4838.767669477434
2_39_78_364_2019-01-03 20:52:15.328486,True,5.401375095492743,5.892,4.134166666666666,2.129166666666663,1708.0292143858096,1624.9398581480968
2_39_90_26_2019-01-03 21:30:15.887776,True,3.1750484308407594,6.829,3.5455555555555556,1.4955555555555549,1945.905609039178,1922.46867216744
2_39_79_378_2019-01-03 21:41:19.357309,True,6.165679150363332,9.192,1.9738888888888888,1.3113888888888852,2642.6177923165837,2564.095768783071
2_39_128_18_2019-01-03 21:53:49.659556,True,1.797712833545108,0.786,1.3086111111111112,1.3086111111111052,227.33802246983737,215.9277984542172
2_39_129_17_2019-01-03 22:06:19.718617,True,6.357692307692307,2.755,0.0011111111111111111,0.0,795.5246698674774,795.5246698674774
2_39_78_367_2019-01-03 23:09:35.862444,True,2.060315893385982,2.319,12.110555555555555,8.840000000000003,644.6307099829555,491.46297221740355
2_39_129_17_2019-01-03 23:25:13.852731,True,2.696674412403337,39.328,3.979722222222222,3.9797222222222217,9771.407449713648,9515.327431688716
2_39_127_19_2019-01-04 00:16:32.425740,True,3.31629392971246,15.57,9.634166666666667,5.724444444444444,4377.127546523524,3334.7982000393317
2_39_130_31_2019-01-04 01:20:34.462567,True,3.31096065406234,14.399,10.66,4.657222222222217,3915.6162449688954,3081.511700697605
2_39_125_21_2019-01-04 03:40:21.315553,True,5.836977842353797,13.391,9.120833333333334,4.033333333333331,3386.8517645293236,2846.0422017396977
2_39_123_23_2019-01-04 13:57:31.140098,True,6.296140494180111,34.258,0.005,0.0049999999999954525,8894.40225236917,8894.211573445375
2_39_79_381_2019-01-04 15:49:59.018592,True,3.0998183799491463,4.741,15.615555555555556,15.615555555555545,1230.4752553179171,909.8785556478499
2_39_78_366_2019-01-04 15:52:26.135240,True,3.9332115033182653,34.078,0.9155555555555556,0.0,9031.166646366275,9031.166646366275
2_39_79_379_2019-01-04 16:11:08.677111,True,2.694169561543517,15.942,4.413888888888889,0.0,4144.7060835733655,4144.7060835733655
2_39_138_29_2019-01-04 16:14:47.577728,True,5.274958113158912,11.369,6.979722222222223,0.7533333333333303,2925.1691457892784,2906.4314719414783
2_39_95_444_2019-01-04 16:15:17.272653,True,5.726604823747681,8.574,6.789722222222222,1.2480555555555526,2213.209542498301,2188.54185771237
